order_id,customer_id,customer_name,order_date,product_id,product_name,quantity,unit_price,discount%,total_price,payment_method,store_location,customer_email,phone_number,loyalty_status
1661,CUST-402,"Jones, Andre",11-09-2023,PROD-112,Smart Watch,4,129.99,23,400.37,Credit Card,"Dallas, TX",luis41@example.com,(303) 494-1508,
2284,CUST-187,Peter Porter,2023-08-09,PROD-067,Fitness Tracker,4,49.5,28,142.56,PayPal,"San Antonio, TX",bakerangela@example.net,(811) 837-2463,Bronze
2846,CUST-278,"Gregory, William",08/23/23,PROD-067,Fitness Tracker,4,49.5,30%,$198.0,PayPal,"Houston, TX",blacksteven@example.net,3053844177,Silver
2251,CUST-437,"Smith, Michael",2023-06-20,PROD-067,Fitness Tracker,2,49.5,22%,$99.0,Cash,"Phoenix, AZ",tdouglas@example.org,3247408734,
1305,CUST-266,Christian Erickson,2023-01-29,PROD-123,PhoneCase,4,19.99,15,$67.97,Credit Card,"Phoenix, AZ",acostamegan@example.net,6173494843,Gold
1040,CUST-284,"Strong, Stephanie",09/06/2023,PROD-078,bluetooth speaker,4,34.95,9,127.22,Debit Card,"New York, NY",kbriggs@example.org,(614) 346-4226,Bronze
1345,CUST-014,Denise Garcia,03/01/2023,PROD-112,Smart Watch,1,$129.99,15,$110.49,Debit Card,"Houston, TX",,(786) 602-5432,New
2257,CUST-329,Aaron Moore,08/07/23,PROD-112,Smart Watch,4,$129.99,15,$441.97,Cash,"Dallas, TX",connor43@example.net,6265791257,Bronze
2977,CUST-112,"Vega, Christina",2023-02-02,PROD-089,Tablet Stand,3,24.99,8%,$74.97,Debit Card,"San Diego, CA",debbie12@example.org,7364766729,
2279,CUST-367,Noah Black,2023-04-11,PROD-145,Portable Charger,5,$29.99,30,104.96,Cash,"Houston, TX",nathan92@example.org,8072358134,
1005,CUST-151,Michelle Patel,05/08/23,PROD-089,TabletStand,5,$24.99,N/A,124.95,Credit Card,"San Antonio, TX",lindseywatson@example.com,(408) 256-5772,
2017,CUST-286,"Haney, Jonathan",28-12-2023,PROD-089,Tablet Stand,1,24.99,1%,24.99,Debit Card,"Los Angeles, CA",susanmays@example.net,3389176327,
2572,CUST-009,Melissa Perkins,08-21-2023,PROD-102,USB-C Cable,4,$12.99,14,$44.69,PayPal,"Chicago, IL",madison95@example.com,8344302882,Bronze
1912,CUST-321,"Sanchez, Arthur",04-13-2023,PROD-156,Wireless Earbuds,1,$79.99,28,$57.59,Cash,"Phoenix, AZ",langmatthew@example.com,(367) 537-5205,Gold
2625,CUST-135,"Martinez, Sydney",03/23/2023,PROD-078,bluetooth speaker,5,$34.95,26%,$174.75,Debit Card,"San Jose, CA",kevin38@example.org,(318) 902-1439,
2424,CUST-490,"Kelly, Alexandra",10-30-2023,PROD-045,Wireless Headphones,4,$59.99,N/A,239.96,Cash,"San Diego, CA",mnorris@example.net,9812791624,
1235,CUST-307,"Rodriguez, Mark",08/11/23,PROD-134,screen protector,3,9.99,26,22.18,Debit Card,"Phoenix, AZ",ydavis@example.com,(899) 789-7834,New
1113,CUST-406,"Weaver, Steve",10-05-2023,PROD-089,TabletStand,1,24.99,11,22.24,Credit Card,"San Diego, CA",,6283264532,
2271,CUST-173,"Alexander, Lindsay",02/04/2023,PROD-089,Tablet Stand,3,$24.99,8,$68.97,Debit Card,"Houston, TX",,5967999795,Gold
1662,CUST-259,Christopher Black,11-25-2023,PROD-078,Bluetooth Speaker,2,$34.95,25,$52.43,Credit Card,"Dallas, TX",alexander24@example.org,8412344701,Bronze
2947,CUST-424,Ryan Norris,09/06/2023,PROD-045,Wireless Headphones,4,59.99,2,235.16,Credit Card,"Chicago, IL",carriegonzalez@example.org,(330) 493-2682,New
1712,CUST-130,"Maldonado, William",16/02/2023,PROD-067,fitness tracker,4,$49.5,24,$150.48,Cash,"Phoenix, AZ",wgray@example.net,(746) 673-3721,
1920,CUST-065,Rose Rodriguez,12/27/2023,PROD-045,WirelessHeadphones,1,59.99,N/A,59.99,PayPal,"Phoenix, AZ",nicole50@example.net,(313) 984-4549,
2708,CUST-219,Michelle Simon,07-27-2023,PROD-045,Wireless Headphones,2,$59.99,7%,119.98,Credit Card,"Phoenix, AZ",tfrazier@example.net,(995) 942-9065,Silver
2390,CUST-164,Christian Jenkins,15/01/2023,PROD-078,Bluetooth Speaker,3,34.95,1%,$104.85,Debit Card,"San Antonio, TX",crawfordmaurice@example.com,(373) 684-3688,
2104,CUST-316,"Gutierrez, Ricardo",01-28-2023,PROD-102,USB-C Cable,3,$12.99,8,$35.85,Debit Card,"Chicago, IL",tonigarcia@example.org,(239) 224-7785,New
1233,CUST-148,"Martinez, Edward",10/02/23,PROD-112,Smart Watch,2,129.99,N/A,$259.98,Debit Card,"Philadelphia, PA",heather41@example.org,(863) 645-8285,Bronze
2101,CUST-244,Charles Goodwin,2023-05-28,PROD-078,Bluetooth Speaker,3,$34.95,4,100.66,PayPal,"Phoenix, AZ",daniel28@example.com,(723) 336-9270,
1870,CUST-201,"Stanley, Robert",06/16/23,PROD-123,PHONE CASE,5,19.99,15,$84.96,Cash,"Los Angeles, CA",christopher99@example.org,(638) 325-4049,New
1770,CUST-496,"Smith, Stephanie",07/02/2023,PROD-156,WIRELESS EARBUDS,17,79.99,7,$1264.64,Credit Card,"Philadelphia, PA",pvaughn@example.net,(588) 383-1697,
1855,CUST-403,"Thompson, Brandon",08-06-2023,PROD-045,Wireless Headphones,1,$59.99,5,56.99,Cash,"Los Angeles, CA",uwilson@example.net,(351) 684-3047,Gold
1772,CUST-376,"Anderson, Meghan",06/22/2023,PROD-045,Wireless Headphones,5,$59.99,3,290.95,PayPal,"San Diego, CA",kelleylevi@example.net,4627173724,Silver
2481,CUST-243,Ronnie Garcia,12/30/23,PROD-078,Bluetooth Speaker,1,$34.95,15,$29.71,Cash,"San Antonio, TX",zpayne@example.com,(965) 584-4331,Bronze
1183,CUST-056,Michael Lewis,11-19-2023,PROD-145,Portable Charger,4,29.99,10,$107.96,PayPal,"San Jose, CA",,(288) 529-7993,Bronze
1418,CUST-113,Michelle Blackburn,18-04-2023,PROD-078,Bluetooth Speaker,1,34.95,9,31.8,PayPal,"San Diego, CA",mariah15@example.net,(623) 436-6524,
2014,CUST-105,Clayton Whitaker,08/20/23,PROD-089,Tablet Stand,5,24.99,4%,124.95,PayPal,"Houston, TX",chadparker@example.com,(497) 559-5190,Bronze
2554,CUST-183,"Casey, Robert",2023-12-29,PROD-123,PHONE CASE,5,$19.99,18%,$99.95,Debit Card,"Chicago, IL",popetimothy@example.com,(463) 388-5057,New
2820,CUST-062,"Sandoval, Joel",06/07/2023,PROD-156,Wireless Earbuds,3,$79.99,27,175.18,PayPal,"San Jose, CA",anitagibson@example.org,(535) 351-4695,
1660,CUST-073,"Blake, Jenna",09-21-2023,PROD-156,Wireless Earbuds,2,79.99,26,118.39,Credit Card,"Los Angeles, CA",josephsoto@example.net,(404) 682-1691,New
1724,CUST-182,"Murphy, Tim",10-01-2023,PROD-156,Wireless Earbuds,1,79.99,1,79.19,Debit Card,"San Antonio, TX",nealchristopher@example.net,2304056980,Silver
1727,CUST-227,Kristen Davila,2023-04-09,PROD-156,wireless earbuds,2,$79.99,28,115.19,Credit Card,"Phoenix, AZ",,8329722690,Gold
2223,CUST-077,"Torres, Sherry",2023-11-04,PROD-145,Portable Charger,13,29.99,5%,$389.87,Cash,"Houston, TX",jessicamoore@example.com,8248603457,Bronze
2389,CUST-394,"Carroll, Jacqueline",01/28/23,PROD-156,Wireless Earbuds,2,$79.99,24,121.58,Debit Card,"Houston, TX",vhicks@example.org,(643) 805-1597,Silver
1788,CUST-346,"Bryant, Michelle",04/10/23,PROD-089,Tablet Stand,5,24.99,20%,124.95,Credit Card,"San Antonio, TX",,(495) 304-8725,Silver
2700,CUST-211,"Waters, Jacob",11/18/2023,PROD-156,Wireless Earbuds,5,$79.99,20,319.96,Debit Card,"San Antonio, TX",nicolenichols@example.net,6739511374,
1507,CUST-178,"Cowan, Danielle",29/06/2023,PROD-089,Tablet Stand,1,$24.99,12,$21.99,Credit Card,"San Antonio, TX",garciafrank@example.com,4152053808,
1272,CUST-406,"Weaver, Steve",17/03/2023,PROD-145,Portable Charger,3,29.99,N/A,$89.97,Credit Card,"New York, NY",,6283264532,
2214,CUST-279,"Sanders, Edward",11/28/2023,PROD-156,Wireless Earbuds,1,$79.99,21,63.19,PayPal,"Dallas, TX",sherry23@example.org,9605995901,
1822,CUST-134,"Martinez, Patricia",07-03-2023,PROD-123,Phone Case,2,19.99,23%,39.98,Credit Card,"Philadelphia, PA",stephenbrown@example.org,7135714617,Silver
2252,CUST-330,Elizabeth Williams,2023-05-16,PROD-134,Screen Protector,4,$9.99,3%,$39.96,Credit Card,"San Jose, CA",kristen36@example.com,(862) 258-1651,Silver
2167,CUST-154,"Anderson, Jamie",06/02/23,PROD-102,USB-C Cable,5,$12.99,25%,64.95,Credit Card,"San Diego, CA",coxjessica@example.com,(689) 957-8666,
2465,CUST-392,"Robinson, Christina",04-08-2023,PROD-045,wireless headphones,3,$59.99,0%,179.97,PayPal,"Dallas, TX",jbates@example.net,(712) 203-6842,New
2871,CUST-129,Wendy Young,12-08-2023,PROD-145,Portable Charger,1,29.99,22%,$29.99,Debit Card,"Dallas, TX",jamesdiaz@example.com,3883512059,New
1850,CUST-034,John Miller,12/12/23,PROD-123,Phone Case,1,19.99,13%,19.99,Credit Card,"Phoenix, AZ",marie05@example.org,(365) 882-2555,Gold
1163,CUST-050,"Schmidt, Margaret",02/24/23,PROD-134,Screen Protector,5,$9.99,N/A,49.95,PayPal,"Los Angeles, CA",carrie64@example.org,(763) 335-1504,New
2094,CUST-088,"Payne, Elizabeth",05-17-2023,PROD-045,Wireless Headphones,5,$59.99,19,$242.96,Debit Card,"Chicago, IL",lwilson@example.net,8386277307,New
2779,CUST-340,"Smith, Ashley",08/13/23,PROD-045,Wireless Headphones,4,$59.99,3,232.76,PayPal,"New York, NY",pmayo@example.net,(621) 963-4301,Bronze
2735,CUST-441,"Thompson, Tiffany",18/08/2023,PROD-156,WirelessEarbuds,4,79.99,7,$297.56,Credit Card,"Los Angeles, CA",zjames@example.com,8318246644,
2850,CUST-296,"Williams, Steven",05-15-2023,PROD-045,WIRELESS HEADPHONES,2,$59.99,14,$103.18,Debit Card,"Chicago, IL",,(216) 551-8764,Bronze
1030,CUST-267,"Wilson, Karl",11/03/2023,PROD-112,Smart Watch,5,129.99,18,532.96,Cash,"San Diego, CA",robert24@example.com,(876) 480-3938,Silver
1421,CUST-370,James Doyle,17/10/2023,PROD-145,Portable Charger,3,29.99,N/A,89.97,Debit Card,"San Diego, CA",luissexton@example.com,(924) 244-7559,New
1044,CUST-428,"Brennan, Henry",10/14/2023,PROD-078,Bluetooth Speaker,5,$34.95,12,$153.78,PayPal,"New York, NY",guerraamanda@example.org,(664) 930-7761,
1338,CUST-106,Gregg Cooley,05/05/2023,PROD-156,Wireless Earbuds,2,79.99,N/A,$159.98,Credit Card,"San Jose, CA",karenwagner@example.com,(683) 721-8597,Silver
2401,CUST-095,"Jennings, Stephanie",12-22-2023,PROD-078,bluetooth speaker,4,34.95,10,125.82,Credit Card,"New York, NY",hinesdavid@example.com,(935) 499-4924,Gold
1505,CUST-017,"Lowe, John",18-02-2023,PROD-102,USB-C Cable,4,$12.99,22,$40.53,Credit Card,"New York, NY",rachel07@example.org,(480) 721-4701,New
1248,CUST-465,"Adams, Mary",02/09/2023,PROD-078,Bluetooth Speaker,3,34.95,25,78.64,Cash,"San Jose, CA",saramurray@example.com,(204) 997-6634,Gold
2582,CUST-433,"Salinas, Mark",2023-07-12,PROD-123,Phone Case,5,$19.99,18,$81.96,Debit Card,"New York, NY",brendagordon@example.net,(332) 500-4786,
2712,CUST-269,"Hunter, Steven",03-05-2023,PROD-123,Phone Case,1,19.99,21,15.79,Cash,"San Diego, CA",hardymelanie@example.org,7589108033,Bronze
1424,CUST-434,"Johnston, Brittany",08-01-2023,PROD-123,Phone Case,2,19.99,2,39.18,PayPal,"San Antonio, TX",kathygarner@example.com,7822953860,
1295,CUST-003,Laura Lopez,09/15/23,PROD-156,wireless earbuds,19,79.99,N/A,1519.81,PayPal,"Dallas, TX",blakewagner@example.org,8338855256,
2854,CUST-153,Scott Garcia,30-10-2023,PROD-089,Tablet Stand,3,24.99,30,52.48,Cash,"Phoenix, AZ",millerjeffrey@example.com,7009413520,New
2092,CUST-003,Laura Lopez,2023-08-25,PROD-045,wireless headphones,4,59.99,8,$220.76,Debit Card,"Chicago, IL",blakewagner@example.org,8338855256,
2630,CUST-423,"Khan, Erik",2023-05-26,PROD-145,Portable Charger,1,29.99,11,$26.69,Cash,"Phoenix, AZ",stacyryan@example.com,8336323254,New
1741,CUST-241,Wayne Thompson,05/25/23,PROD-089,Tablet Stand,2,$24.99,10,44.98,Cash,"San Antonio, TX",thernandez@example.com,(393) 433-1235,Gold
1401,CUST-218,"Richard, Elizabeth",18/06/2023,PROD-123,phone case,4,$19.99,20,$63.97,Debit Card,"Phoenix, AZ",kwheeler@example.com,6877996696,New
2886,CUST-220,"Williams, Chelsea",2023-07-05,PROD-123,Phone Case,4,$19.99,14,68.77,Credit Card,"Los Angeles, CA",claytonsusan@example.net,(253) 553-2255,
2078,CUST-317,"Holland, Robert",03/30/23,PROD-089,Tablet Stand,4,$24.99,12,$87.96,Cash,"Chicago, IL",guzmanashley@example.org,6168717802,New
2228,CUST-176,"Mckay, Crystal",2023-08-06,PROD-123,Phone Case,4,$19.99,24,$60.77,Debit Card,"Dallas, TX",cbailey@example.org,(950) 581-8812,
1449,CUST-167,"Ruiz, Savannah",15-11-2023,PROD-102,USB-C Cable,3,12.99,7,36.24,Cash,"Houston, TX",ylong@example.net,(841) 781-1206,
2444,CUST-084,"Williams, John",04/08/2023,PROD-078,Bluetooth Speaker,2,34.95,26,51.73,PayPal,"Houston, TX",jenniferjohnston@example.org,(855) 789-1304,Bronze
1279,CUST-119,"Davis, Christopher",2023-09-06,PROD-078,Bluetooth Speaker,1,$34.95,9,31.8,Credit Card,"Dallas, TX",,(364) 228-6208,
2244,CUST-056,Michael Lewis,07-03-2023,PROD-078,bluetooth speaker,20,34.95,11,622.11,Credit Card,"Chicago, IL",,(288) 529-7993,Bronze
1182,CUST-432,"Colon, Eric",2023-05-21,PROD-089,tablet stand,4,$24.99,5,$94.96,PayPal,"Chicago, IL",,(508) 814-6351,Silver
2128,CUST-248,"Mata, Danielle",2023-03-07,PROD-089,TABLET STAND,5,$24.99,18,102.46,Debit Card,"Dallas, TX",petersennathan@example.org,9102633226,
2920,CUST-438,"Tapia, Mary",10/14/23,PROD-089,Tablet Stand,1,24.99,17,20.74,Debit Card,"San Jose, CA",ruben06@example.net,(682) 880-8743,Bronze
1487,CUST-204,Curtis Young,12/08/2023,PROD-102,USB-C Cable,3,12.99,11,34.68,Credit Card,"Chicago, IL",roberttaylor@example.com,(969) 339-6682,New
1673,CUST-273,"Morrow, Lydia",04-10-2023,PROD-078,Bluetooth Speaker,1,34.95,16,$29.36,Debit Card,"Houston, TX",,(853) 408-7909,Bronze
1127,CUST-099,"Smith, Scott",08/12/2023,PROD-156,Wireless Earbuds,2,$79.99,3,$155.18,Cash,"San Antonio, TX",justin56@example.net,(246) 435-3057,New
2616,CUST-419,"Lopez, Elizabeth",04-15-2023,PROD-156,Wireless Earbuds,5,79.99,4%,399.95,PayPal,"Dallas, TX",scottfelicia@example.net,(213) 659-4117,
